TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
industrial:0:control:1:system,system control industrial,industrial control system,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Discrete-based Manufacturing System Datasets,2
discrete:0:manufacturing,discrete manufacturing,discrete manufacturing,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Discrete-based Manufacturing System Datasets,2
cyber:0:physical:1:system,system cyber physical,Cyber-physical systems ,Measurement Data for a Wireless Force Seeking Apparatus,5
cyber,cyber,Cyber,Measurement Data for a Wireless Force Seeking Apparatus,2
system,system,systems,Measurement Data for a Wireless Force Seeking Apparatus,7
network:0:base:1:sensing,sensing network base,network-based sensing ,Measurement Data for a Wireless Force Seeking Apparatus,2
base,base,based,Measurement Data for a Wireless Force Seeking Apparatus,6
computer:0:base:1:algorithm,algorithm base computer,computer-based algorithms ,Measurement Data for a Wireless Force Seeking Apparatus,2
control,control,controlled,Measurement Data for a Wireless Force Seeking Apparatus,3
physics:0:law,law physics,laws of physics ,Measurement Data for a Wireless Force Seeking Apparatus,2
communication,communication,communication,Measurement Data for a Wireless Force Seeking Apparatus,3
information,information,information,Measurement Data for a Wireless Force Seeking Apparatus,2
conduct,conduct,conducting,Measurement Data for a Wireless Force Seeking Apparatus,2
primary:0:role:1:play,role play primary,play a primary role ,Measurement Data for a Wireless Force Seeking Apparatus,2
primary:0:role,role primary,primary role ,Measurement Data for a Wireless Force Seeking Apparatus,2
integrate:3:wireless:1:force:0:torque:2:sensor,force sensor integrate torque wireless,integrated wireless force-torque sensor and ,Measurement Data for a Wireless Force Seeking Apparatus,2
wireless:1:force:0:torque:2:sensor,force torque sensor wireless,wireless force-torque sensor,Measurement Data for a Wireless Force Seeking Apparatus,3
torque,torque,torque,Measurement Data for a Wireless Force Seeking Apparatus,2
control:0:system,system control,control system,Measurement Data for a Wireless Force Seeking Apparatus,2
wireless,wireless,wireless,Measurement Data for a Wireless Force Seeking Apparatus,2
remote:2:vision:0:base:1:observer,remote vision observer base,remote vision-based observer ,Measurement Data for a Wireless Force Seeking Apparatus,2
cyber:0:physical:1:system:2:performance,system cyber performance physical,performance of the cyber-physical system ,Measurement Data for a Wireless Force Seeking Apparatus,2
examine,examine,examined,Measurement Data for a Wireless Force Seeking Apparatus,3
construct,construct,constructed,Measurement Data for a Wireless Force Seeking Apparatus,3
conduct:0:experiment,experiment conduct,experiments conducted ,Measurement Data for a Wireless Force Seeking Apparatus,2
dataset:0:include,include dataset,included in the dataset,Measurement Data for a Wireless Force Seeking Apparatus,2
dataset,dataset,dataset,Measurement Data for a Wireless Force Seeking Apparatus,2
industrial:0:wireless,industrial wireless,industrial wireless,Measurement Data for a Wireless Force Seeking Apparatus,2
factory:0:communication,factory communication,factory communications,Measurement Data for a Wireless Force Seeking Apparatus,3
factory,factory,Factory,Measurement Data for a Wireless Force Seeking Apparatus,3
wireless:0:networking,networking wireless,wireless networking,Measurement Data for a Wireless Force Seeking Apparatus,2
control:2:factory:0:operation:1:planning:3:manufacturing,factory operation planning manufacturing control,Manufacturing Factory operations planning and control,Measurement Data for a Wireless Force Seeking Apparatus,2
factory:0:operation:1:planning,factory planning operation,Factory operations planning ,Measurement Data for a Wireless Force Seeking Apparatus,2
manufacturing,manufacturing,Manufacturing,Measurement Data for a Wireless Force Seeking Apparatus,4
factory:0:communication:1:manufacturing,manufacturing factory communication,Manufacturing Factory communications,Measurement Data for a Wireless Force Seeking Apparatus,2
manufacture:0:environment:1:implement,implement environment manufacture,implemented in manufacturing environments ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
environment,environment,environment,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
implement,implement,implement,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
currently,currently,currently,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
cots:0:shelf,cots shelf,shelf (COTS,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
commercial:1:open:0:source,open commercial source,open-source and commercial ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
source,source,source,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
concept:0:proof:1:solution,proof concept solution,proof-of-concept solutions ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
concept:0:proof,proof concept,proof-of-concept ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
concept,concept,concept,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
proof,proof,proof,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,6
solution,solution,solutions,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
example,example,example,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
process:0:base:1:manufacturing:0:environment,manufacturing process base environment,process-based manufacturing environment and ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
process:0:base,process base,process-based ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
process,process,process,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,4
base,base,based,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,8
manufacturing:0:environment,manufacturing environment,manufacturing environment ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
manufacturing,manufacturing,manufacturing,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,9
discrete:0:base:1:manufacturing:0:environment,discrete manufacturing base environment,discrete-based manufacturing environment ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
guide:0:include,include guide,included in the guide,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
guide,guide,guide,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
risk:0:tolerance,risk tolerance,risk tolerance,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
sophistication,sophistication,sophistication,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
size,size,size,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
voluntarily:0:implement,voluntarily implement,voluntarily implement,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
determination,determination,determinations,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
process:0:base:1:manufacturing:0:system:2:use:3:case,process use case manufacturing system base,process-based manufacturing system use case,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
manufacturing:0:system,system manufacturing,Manufacturing systems ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
system,system,system,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,4
dataset,dataset,dataset,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
cybersecurity,cybersecurity,Cybersecurity,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
smart:0:manufacturing,smart manufacturing,smart manufacturing,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
industrial:0:control:1:system,system control industrial,industrial control system,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
control,control,control,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,3
analysis:2:manufacturing:0:system:1:design:3:manufacturing,system manufacturing design analysis,Manufacturing Manufacturing systems design and analysis,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
manufacturing:0:system:1:design,system manufacturing design,Manufacturing systems design ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
process:0:measurement,process measurement,Process measurement ,Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations for Process-based Manufacturing System Datasets,2
study,study,study,Linear Axis Testbed - Rail Degradation Experiment 01,2
laser:0:base:1:reference:0:system,system laser base reference,laser-based reference system,Linear Axis Testbed - Rail Degradation Experiment 01,2
laser:0:base,laser base,laser-based ,Linear Axis Testbed - Rail Degradation Experiment 01,3
laser,laser,laser,Linear Axis Testbed - Rail Degradation Experiment 01,3
base,base,based,Linear Axis Testbed - Rail Degradation Experiment 01,6
reference,reference,reference,Linear Axis Testbed - Rail Degradation Experiment 01,3
imu:2:inertial:0:measurement:1:unit,unit inertial imu measurement,inertial measurement unit (IMU,Linear Axis Testbed - Rail Degradation Experiment 01,5
inertial:0:measurement:1:unit,unit inertial measurement,inertial measurement unit,Linear Axis Testbed - Rail Degradation Experiment 01,3
inertial:0:measurement,inertial measurement,inertial measurement ,Linear Axis Testbed - Rail Degradation Experiment 01,2
measurement,measurement,measurement,Linear Axis Testbed - Rail Degradation Experiment 01,3
unit,unit,unit,Linear Axis Testbed - Rail Degradation Experiment 01,2
carriage:0:motion,motion carriage,carriage motion,Linear Axis Testbed - Rail Degradation Experiment 01,2
carriage,carriage,carriage,Linear Axis Testbed - Rail Degradation Experiment 01,3
motion,motion,motion,Linear Axis Testbed - Rail Degradation Experiment 01,4
linear:0:axis:1:testbed,linear axis testbed,linear axis testbed ,Linear Axis Testbed - Rail Degradation Experiment 01,2
linear:0:axis,linear axis,linear axis,Linear Axis Testbed - Rail Degradation Experiment 01,5
axis,axis,axis,Linear Axis Testbed - Rail Degradation Experiment 01,4
rail,rail,rail,Linear Axis Testbed - Rail Degradation Experiment 01,8
intentionally:1:level:0:degrade,intentionally degrade level,intentionally degraded to various levels,Linear Axis Testbed - Rail Degradation Experiment 01,2
level,level,levels,Linear Axis Testbed - Rail Degradation Experiment 01,2
degrade,degrade,degraded,Linear Axis Testbed - Rail Degradation Experiment 01,2
10:0:cm:1:long:2:region:3:degrade,long 10 cm region degrade,degraded over a 10-cm-long region,Linear Axis Testbed - Rail Degradation Experiment 01,2
10:0:cm:1:long:2:region,cm 10 long region,10-cm-long region,Linear Axis Testbed - Rail Degradation Experiment 01,2
cm,cm,cm,Linear Axis Testbed - Rail Degradation Experiment 01,2
region,region,region,Linear Axis Testbed - Rail Degradation Experiment 01,2
error:0:motion,motion error,error motions ,Linear Axis Testbed - Rail Degradation Experiment 01,3
error,error,error,Linear Axis Testbed - Rail Degradation Experiment 01,2
rail:0:region,region rail,region of the rail,Linear Axis Testbed - Rail Degradation Experiment 01,2
rail:0:interact,rail interact,rail interact ,Linear Axis Testbed - Rail Degradation Experiment 01,4
truck,truck,trucks,Linear Axis Testbed - Rail Degradation Experiment 01,2
mechanically:1:spalling:0:simulate,mechanically simulate spalling,mechanically simulate spalling,Linear Axis Testbed - Rail Degradation Experiment 01,2
handheld:0:grinder,handheld grinder,handheld grinder ,Linear Axis Testbed - Rail Degradation Experiment 01,2
rail:1:raceway:0:groove,raceway rail groove,raceway groove of the rail,Linear Axis Testbed - Rail Degradation Experiment 01,2
stage,stage,Stage,Linear Axis Testbed - Rail Degradation Experiment 01,5
mm,mm,mm,Linear Axis Testbed - Rail Degradation Experiment 01,7
length,length,length,Linear Axis Testbed - Rail Degradation Experiment 01,2
significant:0:degradation:1:final:0:state,significant degradation state final,final state of significant degradation ,Linear Axis Testbed - Rail Degradation Experiment 01,2
degradation,degradation,degradation,Linear Axis Testbed - Rail Degradation Experiment 01,9
state,state,state,Linear Axis Testbed - Rail Degradation Experiment 01,2
degradation:0:zone:1:length,zone degradation length,degradation zone length ,Linear Axis Testbed - Rail Degradation Experiment 01,2
degradation:0:zone,zone degradation,degradation zone ,Linear Axis Testbed - Rail Degradation Experiment 01,5
zone,zone,zone,Linear Axis Testbed - Rail Degradation Experiment 01,2
incrementally:0:increase,incrementally increase,increased incrementally ,Linear Axis Testbed - Rail Degradation Experiment 01,2
collect,collect,collected,Linear Axis Testbed - Rail Degradation Experiment 01,8
degradation:0:stage,stage degradation,stage of degradation,Linear Axis Testbed - Rail Degradation Experiment 01,2
laser:0:base:1:reference:0:datum,laser base datum reference,laser-based reference data ,Linear Axis Testbed - Rail Degradation Experiment 01,2
reference:0:datum,datum reference,reference data ,Linear Axis Testbed - Rail Degradation Experiment 01,2
datum,datum,data,Linear Axis Testbed - Rail Degradation Experiment 01,3
m,m,m,Linear Axis Testbed - Rail Degradation Experiment 01,7
imu:0:datum:1:run,run imu datum,runs of IMU data ,Linear Axis Testbed - Rail Degradation Experiment 01,2
run,run,runs,Linear Axis Testbed - Rail Degradation Experiment 01,2
bidirectionally:0:collect,bidirectionally collect,collected bidirectionally ,Linear Axis Testbed - Rail Degradation Experiment 01,4
s:0:m,m s,05 m s,Linear Axis Testbed - Rail Degradation Experiment 01,2
s,s,s,Linear Axis Testbed - Rail Degradation Experiment 01,2
travel,travel,travel,Linear Axis Testbed - Rail Degradation Experiment 01,3
motor:0:encoder,encoder motor,motor encoder ,Linear Axis Testbed - Rail Degradation Experiment 01,2
position,position,positions,Linear Axis Testbed - Rail Degradation Experiment 01,3
linear:0:axis:1:motion,linear motion axis,motion of the linear axis,Linear Axis Testbed - Rail Degradation Experiment 01,2
manufacturing,manufacturing,manufacturing,Linear Axis Testbed - Rail Degradation Experiment 01,6
machining,machining,Machining,Linear Axis Testbed - Rail Degradation Experiment 01,3
machine:0:tool,machine tool,machine tool,Linear Axis Testbed - Rail Degradation Experiment 01,2
accelerometer,accelerometer,accelerometer,Linear Axis Testbed - Rail Degradation Experiment 01,2
rate:0:gyroscope,rate gyroscope,rate gyroscope,Linear Axis Testbed - Rail Degradation Experiment 01,2
process:0:improvement:1:manufacturing,manufacturing process improvement,Manufacturing Process improvement,Linear Axis Testbed - Rail Degradation Experiment 01,2
program,program,program,Computation of 3-d matrices of maximal trace over rotations,13
input:0:matrix,matrix input,input matrix ,Computation of 3-d matrices of maximal trace over rotations,4
input,input,input,Computation of 3-d matrices of maximal trace over rotations,3
matrix,matrix,matrix,Computation of 3-d matrices of maximal trace over rotations,21
rotation:0:matrix,matrix rotation,rotation matrix ,Computation of 3-d matrices of maximal trace over rotations,12
rotation,rotation,rotation,Computation of 3-d matrices of maximal trace over rotations,15
maximal:0:trace,trace maximal,maximal trace ,Computation of 3-d matrices of maximal trace over rotations,8
trace,trace,trace,Computation of 3-d matrices of maximal trace over rotations,8
3x3:0:matrix,matrix 3x3,3x3 matrices,Computation of 3-d matrices of maximal trace over rotations,3
compute,compute,computed,Computation of 3-d matrices of maximal trace over rotations,7
dxd:1:rotation:0:matrix:2:give,give matrix rotation dxd,given any dxd rotation matrix ,Computation of 3-d matrices of maximal trace over rotations,2
dxd:1:rotation:0:matrix,matrix rotation dxd,dxd rotation matrices ,Computation of 3-d matrices of maximal trace over rotations,4
give,give,given,Computation of 3-d matrices of maximal trace over rotations,2
um:0:trace,trace um,trace of UM ,Computation of 3-d matrices of maximal trace over rotations,2
exceed,exceed,exceed,Computation of 3-d matrices of maximal trace over rotations,4
dxd:0:matrix,matrix dxd,dxd matrix ,Computation of 3-d matrices of maximal trace over rotations,3
dxd,dxd,dxd,Computation of 3-d matrices of maximal trace over rotations,2
m,m,M,Computation of 3-d matrices of maximal trace over rotations,2
rotation:0:matrix:1:maximal:0:trace,trace matrix rotation maximal,maximal trace over rotation matrices,Computation of 3-d matrices of maximal trace over rotations,7
problem,problem,problem,Computation of 3-d matrices of maximal trace over rotations,3
call,call,called,Computation of 3-d matrices of maximal trace over rotations,4
point:1:correspond:0:set,correspond set point,corresponding sets of points ,Computation of 3-d matrices of maximal trace over rotations,2
set,set,sets,Computation of 3-d matrices of maximal trace over rotations,2
square,square,squares,Computation of 3-d matrices of maximal trace over rotations,3
optimal:0:u,u optimal,optimal U ,Computation of 3-d matrices of maximal trace over rotations,2
u,u,U,Computation of 3-d matrices of maximal trace over rotations,4
svd:2:singular:0:value:1:decomposition,decomposition singular value svd,singular value decomposition (SVD,Computation of 3-d matrices of maximal trace over rotations,4
singular:0:value:1:decomposition,singular value decomposition,singular value decomposition,Computation of 3-d matrices of maximal trace over rotations,3
singular:0:value,singular value,singular value ,Computation of 3-d matrices of maximal trace over rotations,2
value,value,value,Computation of 3-d matrices of maximal trace over rotations,3
decomposition,decomposition,decomposition,Computation of 3-d matrices of maximal trace over rotations,2
computation,computation,Computation,Computation of 3-d matrices of maximal trace over rotations,2
base,base,based,Computation of 3-d matrices of maximal trace over rotations,3
method,method,method,Computation of 3-d matrices of maximal trace over rotations,6
package,package,package,Computation of 3-d matrices of maximal trace over rotations,2
file,file,file,Computation of 3-d matrices of maximal trace over rotations,4
mex:0:file:1:compilation,compilation mex file,compilation of the mex file,Computation of 3-d matrices of maximal trace over rotations,2
mex:0:file,mex file,mex file ,Computation of 3-d matrices of maximal trace over rotations,4
mex,mex,mex,Computation of 3-d matrices of maximal trace over rotations,3
fortran:0:program,fortran program,Fortran program,Computation of 3-d matrices of maximal trace over rotations,8
matlab:0:program,program matlab,Matlab program,Computation of 3-d matrices of maximal trace over rotations,4
trigonometric:0:identity,trigonometric identity,trigonometric identity,Computation of 3-d matrices of maximal trace over rotations,2
approach,approach,approach,Computation of 3-d matrices of maximal trace over rotations,4
u:1:rotation:0:matrix,matrix rotation u,rotation matrix U ,Computation of 3-d matrices of maximal trace over rotations,3
symmetric:0:m,symmetric m,M is not symmetric,Computation of 3-d matrices of maximal trace over rotations,2
u:0:compute,compute u,compute U ,Computation of 3-d matrices of maximal trace over rotations,2
cayley:0:transform,cayley transform,Cayley transform ,Computation of 3-d matrices of maximal trace over rotations,2
procedure,procedure,procedure,Computation of 3-d matrices of maximal trace over rotations,4
execute,execute,execute,Computation of 3-d matrices of maximal trace over rotations,2
option,option,option,Computation of 3-d matrices of maximal trace over rotations,6
exist,exist,exists,Computation of 3-d matrices of maximal trace over rotations,3
procedure:0:successful,successful procedure,the procedure is successful ,Computation of 3-d matrices of maximal trace over rotations,2
newton:0:method,method newton,Newton's method,Computation of 3-d matrices of maximal trace over rotations,3
rotation:0:matrix:1:r,r matrix rotation,rotation matrix R ,Computation of 3-d matrices of maximal trace over rotations,4
r,r,R,Computation of 3-d matrices of maximal trace over rotations,2
fail,fail,fails,Computation of 3-d matrices of maximal trace over rotations,4
describe,describe,described,Computation of 3-d matrices of maximal trace over rotations,4
svd,svd,SVD,Computation of 3-d matrices of maximal trace over rotations,6
newton:0:method:1:fail,method fail newton,Newton's method fails,Computation of 3-d matrices of maximal trace over rotations,2
following,following,following,Computation of 3-d matrices of maximal trace over rotations,6
fortran:0:code,fortran code,Fortran code ,Computation of 3-d matrices of maximal trace over rotations,6
code,code,code,Computation of 3-d matrices of maximal trace over rotations,6
itex:0:name:1:integer:0:variable,variable integer name itex,integer variable named ITEX ,Computation of 3-d matrices of maximal trace over rotations,2
purpose,purpose,purposes,Computation of 3-d matrices of maximal trace over rotations,6
svd:0:method,method svd,SVD method ,Computation of 3-d matrices of maximal trace over rotations,2
matlab:0:code:1:exist,code exist matlab,exists in the Matlab code ,Computation of 3-d matrices of maximal trace over rotations,2
matlab:0:code,code matlab,Matlab code,Computation of 3-d matrices of maximal trace over rotations,8
eigen:0:value,eigen value,eigen value,Computation of 3-d matrices of maximal trace over rotations,2
eigen,eigen,eigen,Computation of 3-d matrices of maximal trace over rotations,2
eigen:0:vector,eigen vector,eigen vector,Computation of 3-d matrices of maximal trace over rotations,2
d,d,d,Computation of 3-d matrices of maximal trace over rotations,2
image,image,Image,Computation of 3-d matrices of maximal trace over rotations,2
text,text,text,NIST TREC Document Database: Disk 5 - NIST Special Database 23,6
source,source,sources,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
document,document,documents,NIST TREC Document Database: Disk 5 - NIST Special Database 23,7
collection,collection,collection,NIST TREC Document Database: Disk 5 - NIST Special Database 23,3
trec:3:information:2:retrieval:1:test:0:collection,collection test retrieval information trec,TREC information retrieval test collections,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
information,information,information,NIST TREC Document Database: Disk 5 - NIST Special Database 23,4
retrieval,retrieval,retrieval,NIST TREC Document Database: Disk 5 - NIST Special Database 23,6
test:0:collection,collection test,test collections,NIST TREC Document Database: Disk 5 - NIST Special Database 23,3
test,test,test,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
document:0:retrieval,retrieval document,document retrieval,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
information:0:retrieval,retrieval information,Information retrieval,NIST TREC Document Database: Disk 5 - NIST Special Database 23,4
text:0:processing,text processing,text processing,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
retrieval:0:conference,retrieval conference,retrieval conferences,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
text:0:retrieval,text retrieval,text retrieval,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
datum,datum,Data,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
information:0:technology,technology information,Information Technology,NIST TREC Document Database: Disk 5 - NIST Special Database 23,2
source,source,sources,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
text,text,text,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,7
document,document,documents,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,8
collection,collection,collections,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,3
trec:2:information:0:retrieval:1:test:0:collection,collection test retrieval information trec,TREC information retrieval test collections,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
information:0:retrieval,retrieval information,information retrieval,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,4
information,information,information,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,3
retrieval,retrieval,retrieval,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,6
test:0:collection,collection test,test collections,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,3
test,test,test,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
data:2:document:0:text:1:contain,text contain data document,Data contains document text ,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,5
document:0:retrieval,retrieval document,document retrieval,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
text:0:processing,text processing,text processing,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
retrieval:0:conference,retrieval conference,retrieval conferences,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
text:0:retrieval,text retrieval,text retrieval,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
nist:0:trec,trec nist,NIST TREC ,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
datum,datum,Data,NIST TREC  Disks 4 and 5: Retrieval Test Collections Document Set,2
nickel,nickel,nickel,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
alloy,alloy,alloy,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
laser,laser,laser,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
powder:0:bed,powder bed,powder bed ,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
powder,powder,powder,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
bed,bed,bed,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
fusion,fusion,fusion,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
additive:0:manufacturing,manufacturing additive,Additive manufacturing,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,4
manufacturing,manufacturing,Manufacturing,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,5
build,build,build,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
experiment,experiment,experiment,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,6
dataset,dataset,dataset,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,3
surface,surface,surface,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,3
recoat:0:blade,recoat blade,recoater blade ,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
build:0:plate,plate build,build plate ,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
position,position,position,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,3
focus:0:variation:1:additive:0:manufacturing,variation focus additive manufacturing,Additive manufacturing focus variation,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
variation,variation,Variation,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
in625,in625,IN625,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
powder:0:bed:1:fusion,fusion powder bed,powder bed fusion,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
surface:0:texture,texture surface,surface texture,Variation of Surface Topography in Laser Powder Bed Fusion Additive Manufacturing of Nickel Super Alloy 625,2
mobile:0:agv:1:robot,agv robot mobile,AGV or mobile robot,Mobile Manipulator Performance Measurement Data,4
robot,robot,robot,Mobile Manipulator Performance Measurement Data,3
arm,arm,arms,Mobile Manipulator Performance Measurement Data,3
refer,refer,referred,Mobile Manipulator Performance Measurement Data,6
flexible:0:manufacturing:1:advanced:0:approach,approach flexible manufacturing advanced,advanced approach to flexible manufacturing ,Mobile Manipulator Performance Measurement Data,2
manufacturing,manufacturing,Manufacturing,Mobile Manipulator Performance Measurement Data,3
robotic:0:manipulator,robotic manipulator,robotic manipulators ,Mobile Manipulator Performance Measurement Data,3
manipulator,manipulator,manipulator,Mobile Manipulator Performance Measurement Data,5
integrate:0:system,integrate system,integrated system ,Mobile Manipulator Performance Measurement Data,2
system,system,system,Mobile Manipulator Performance Measurement Data,6
mobile:0:manipulator,manipulator mobile,mobile manipulator,Mobile Manipulator Performance Measurement Data,6
industrial:0:acceptance,industrial acceptance,industrial acceptance ,Mobile Manipulator Performance Measurement Data,2
new:0:system,system new,new systems ,Mobile Manipulator Performance Measurement Data,2
user,user,user,Mobile Manipulator Performance Measurement Data,2
procurement:0:guide,procurement guide,guide their procurement ,Mobile Manipulator Performance Measurement Data,3
procurement,procurement,procurement,Mobile Manipulator Performance Measurement Data,2
real:0:performance:1:datum:2:provide,performance provide real datum,provide real performance data ,Mobile Manipulator Performance Measurement Data,2
performance,performance,performance,Mobile Manipulator Performance Measurement Data,2
datum,datum,data,Mobile Manipulator Performance Measurement Data,3
expect,expect,expected,Mobile Manipulator Performance Measurement Data,2
artifact:0:use,use artifact,uses an artifact,Mobile Manipulator Performance Measurement Data,2
